Time(nanoseconds=1760079949871659427, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036144182
Time(nanoseconds=1760079950070997892, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035697877
Time(nanoseconds=1760079950270126832, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.034780763
Time(nanoseconds=1760079950470582855, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03437318
Time(nanoseconds=1760079950672283937, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03394314
Time(nanoseconds=1760079950869690076, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.033444826
Time(nanoseconds=1760079951071911321, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.033425536
Time(nanoseconds=1760079951271991364, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03304812
Time(nanoseconds=1760079951471556525, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032983214
Time(nanoseconds=1760079951671913426, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.033011626
Time(nanoseconds=1760079951871647150, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03269312
Time(nanoseconds=1760079952071640302, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03273437
Time(nanoseconds=1760079952272477914, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032398947
Time(nanoseconds=1760079952471728497, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032149855
Time(nanoseconds=1760079952671662837, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032144155
Time(nanoseconds=1760079952871095725, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.031742647
Time(nanoseconds=1760079953071607299, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03199716
Time(nanoseconds=1760079953271487617, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.031250786
Time(nanoseconds=1760079953471270624, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10627543
Time(nanoseconds=1760079953671178693, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10690841
Time(nanoseconds=1760079953870446076, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.1069494
Time(nanoseconds=1760079954071639607, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.108201355
Time(nanoseconds=1760079954270711856, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10720712
Time(nanoseconds=1760079954470766529, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10704436
Time(nanoseconds=1760079954672316379, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10711772
Time(nanoseconds=1760079954871744037, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10567349
Time(nanoseconds=1760079955071718918, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.105566785
Time(nanoseconds=1760079955272028587, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10551646
Time(nanoseconds=1760079955471694621, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.105190694
Time(nanoseconds=1760079955671603870, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.102979675
Time(nanoseconds=1760079955871357156, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10346207
Time(nanoseconds=1760079956072294321, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10325543
Time(nanoseconds=1760079956271811421, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10505205
Time(nanoseconds=1760079956470074370, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10625556
Time(nanoseconds=1760079956670659766, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.10541747
